;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CO₂ emissions - EnerBlue;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Global Energy & Climate Outlook 2050;;;;;;;;;;;;;;;;;;;;;;;;;;;
;www.enerdata.net;;;;;;;;;;;;;;Back to Intro;;;;;;;;;;;;;
;Africa;EnerBlue;tCO₂/cap;0,90;0,99;1,03;1,03;0,88;0,95;0,95;0,94;0,93;0,91;0,87;;;;;;;;;;;;;;
;Middle-East;EnerBlue;tCO₂/cap;5,92;6,84;7,72;8,28;7,71;7,44;6,81;6,28;5,61;4,84;4,35;;;;;;;;;;;;;;
;North America;EnerBlue;tCO₂/cap;20,39;19,53;17,56;15,78;13,37;11,15;7,60;5,53;4,24;2,81;1,74;;;;;;;;;;;;;;
;Latin America;EnerBlue;tCO₂/cap;2,40;2,48;2,66;2,77;2,09;2,19;2,22;2,14;2,04;1,86;1,67;;;;;;;;;;;;;;
;CIS;EnerBlue;tCO₂/cap;7,91;8,27;8,54;7,90;7,70;7,74;7,05;6,33;5,66;5,07;4,57;;;;;;;;;;;;;;
;n.a. : non avalaible ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;EnerOutlook 2050 is a proprietary application. The data contained in this file / in the online interface cannot be sold. The data can be published after Enerdata's approval.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Sources: Enerdata Global Energy & CO2 Database, POLES-Enerdata model, EnerFuture scenarios;;;;;;;;;;;;;;;;;;;;;;;;;;;
;- Historical data (September 2021);;;;;;;;;;;;;;;;;;;;;;;;;;;
;- POLES projections (June 2022);;;;;;;;;;;;;;;;;;;;;;;;;;;
;Cite as: Enerdata Global Energy & Climate Outlook 2050;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Disclaimer: Enerdata assumes no liability in the case of any direct, indirect or subsequent damages which occur in any way in;;;;;;;;;;;;;;;;;;;;;;;;;;;
;connection with the use of the information and the data contained in the EnerFuture Service or in any other information service.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;© Copyright Enerdata www.enerdata.net. Reproduction and diffusion prohibited (web, photocopy, intranet...) without written permission.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
